"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCIH520.PS.1","NCIH520.PS.2","NCIH520.PS.3","NCIH520.PR.1","NCIH520.PR.2","NCIH520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"IRF9",5.82094981316845,5.68284314652444,6.31381990271396,8.64959385514746,8.92463151260857,9.056247376958,9.07867620639949,9.02811209937499,6.72549299607949,6.61360005042764,7.04871096537098,6.11092764716078,6.08475664817967,6.33002609975625,5.80363294944477,5.46111844473192,5.3610468080497,6.06735916719347,6.35230034293122,6.09004961935345
"BPNT1",7.49629296830966,7.33634580243641,7.05815893108521,7.69051829424279,7.84691897824301,7.87605850248806,7.81572176923796,7.66303855109606,9.13332354155802,9.24020285066122,9.20286204979301,8.7601888452594,8.85044078968762,8.84363853411756,8.26580635380657,8.39004247095296,8.25417743611489,8.47454597625117,8.56093705010222,8.57408141561137
"TUBB4B",11.0651723068596,10.9359260504874,11.1607059491047,11.1081024606649,11.1514988726722,11.1936798307928,11.1165141009628,11.1469372004804,9.071138949969,8.96630548666117,9.1638767435331,9.87117899588141,9.85204153896832,10.0316015872165,10.9348576486284,10.7717739752648,10.8664181990802,10.5114610228536,10.4708953638821,10.3763313488118
"BTN3A3",5.33348769496542,5.63800911461747,4.97694300837174,6.24527399565759,5.27836721154245,5.83821123951774,5.90057604566698,5.85547232272507,6.91617706092346,6.91589457655177,6.83155724423226,6.42866992424146,6.72176990376942,6.55722871393065,5.53285491706904,5.39873125568474,5.44412453678483,5.86447962115186,5.3531997975846,5.81893676980851
"CDR2",6.1146558865101,6.18466399010424,6.51278413365208,6.95423488190408,6.75266465895247,7.05548024162332,6.7076869686696,6.75087213023055,9.17650972757604,9.15313515977999,9.23985801125758,8.83298244065428,8.78777778181952,8.84533522710454,7.10680292833301,7.33484697519817,7.15834832871467,7.40049846001468,7.32613685671463,7.32267280987963
"ST3GAL6",4.01937661991289,3.91533911740008,3.80829468369674,3.33448452147758,3.1782617560128,3.3739435979967,3.17024002350735,2.85070589373565,2.9437203770455,3.2274054214208,3.38213419787107,3.78890141168739,3.08054589316644,3.26982530521296,5.48254107658541,4.37381144291826,4.69121727219093,4.488051940487,4.7239950160767,4.3866361466633
"NDC80",9.06671261370174,9.12472174664259,8.91622862542877,9.04978456636868,9.11122856541647,9.15556063418495,9.14775111476883,9.11146830209649,6.67496483387269,6.63279631895598,6.89191388062742,7.71324177911846,7.72487200336696,7.79147441594179,8.30986164563013,8.55180920460528,8.3419716939914,7.58213486043921,7.85595774559133,7.77190791181466
"IFITM3",10.3258606913789,10.5147961380844,10.4607770403901,11.9441526026511,12.0924730785409,12.1813106295072,12.2241429177216,12.3705587050238,5.32457431279859,5.72718326724692,5.53875590479547,5.50119305151537,5.91049152790018,5.25729091841566,10.4395170665818,10.2100966896514,10.2010702799969,10.7831525704715,10.7101988406045,10.4710217215282
"TESK2",4.15914634337685,4.48669506189076,4.09293997685025,3.62529958613299,3.58855633121123,2.61567247893478,3.13204311796227,3.22469813742641,6.32390190584368,6.52659699607783,6.54453908021915,5.48759263011964,6.0287983839474,6.36392904842814,4.65986594112936,5.2740360257869,4.6580469922905,3.57726128186793,3.34436024588631,2.8840753838061
"OLFM1",7.15079167732275,6.81397879135165,7.65305426801437,5.31496632916958,5.5825067339101,5.53764174425651,5.60667817799132,5.54324372563564,3.9138899653138,3.68033281964635,3.50645767774493,4.15155521178748,3.84675566736658,4.06801294149281,3.86803740793431,3.73648768594517,4.21296138772184,4.00052336843035,4.35088753733558,3.71564361597235
"MERTK",5.38823449988998,5.6531924526386,5.93378367214349,6.23540497872774,6.49626546148128,6.58951582453319,6.14619354947827,6.0167859266102,7.22127336330775,7.30555937820177,7.1535929262503,7.92475165209541,7.80111408699775,7.95876476582042,6.073261189733,6.45614289758999,5.2323478066473,6.98819902869157,6.93292511033951,7.03597367124386
"CLGN",5.93913066222405,5.58332458641523,5.59151490838055,4.979701263541,5.32921603653296,4.8018201139738,5.15535909667205,5.25775872599344,3.51231506489019,3.1663375938913,2.86384085501169,2.59689628356955,3.33413019704552,3.73095766939011,3.96849042814381,3.82301461736736,3.54995349437144,4.95129021665189,5.20825094145152,5.01703109415421
"TRIM38",4.93775046476536,4.91736607960112,5.80330637309972,6.23086753216003,6.67578709128058,6.03662883866206,5.93876538501218,6.56252666869083,3.63494647968905,4.38131460701058,4.05291128296642,4.84126212541913,5.12205098061279,5.14931742796407,5.20393846568972,5.302252411452,4.76339176592716,5.95933063900593,5.97998851527415,6.10561565941544
"UBE2E3",8.3027563382214,8.74927190981212,8.45672610266305,7.85896943488338,8.04154635625146,8.05691594465347,8.29631152695412,8.26471458847349,7.18780519402735,7.05521210443472,7.44249197066693,7.20226388660661,7.20892399791144,7.29625545835845,6.91745462235632,7.168378190901,7.14217521387561,8.19243953021875,8.07635790351201,8.12196477355606
"SEC23A",8.34543488253923,8.35029144391428,8.32399720434133,8.93758549084664,8.91826980532496,9.12346118521069,9.11142128813188,8.97659908932955,6.96777161748587,7.02302283619636,7.20962561124597,6.71134375857846,6.50763691765557,7.11948056415551,9.29630616044022,9.39696763773738,9.31236423965094,9.70032387112925,9.72327612415963,9.80779078656494
"UNC13B",4.50693420312041,4.89448523588518,4.84396271633058,6.26185010934337,6.52380634746985,6.67003738525548,5.71653684027605,6.30995666867111,6.53248196087809,6.53784832435821,6.95261358052335,6.84783855510736,6.56003051875915,6.89546023949073,5.89799295979139,5.41330955384317,5.53885925812099,5.02102795770266,4.69925533284364,4.74234056631422
"SEMA6C",7.8116724383899,7.59053723275886,7.46337548326645,8.26249310441747,8.30788419989937,8.352212568317,8.26417066572009,8.18958586406922,5.40151195960891,5.22245640893324,5.36137527125972,5.09643739010505,5.45991196112506,5.1591982646663,6.27833783095667,6.16076772563671,5.84370918009663,7.08807753703384,6.85627137406589,6.41389553329244
"SEMA4D",5.98842825227484,6.2913440316879,6.37679574286963,6.67826908137227,6.39565623871609,6.26735239797295,6.06727773975251,6.32934749252281,7.72068708058293,7.55239890758333,7.79923814425673,8.89390726670839,9.0831356808929,9.32061278213721,5.32113680062663,5.3385528460075,5.7081961692075,5.59663653147014,6.12014588499855,5.2190265016087
"SEMA3C",5.90832462441192,5.04448020810352,6.11742687866685,7.23545825123107,7.58664901523596,7.70760805308119,7.44627400443234,7.31822251961871,3.2473152966077,3.89881082482684,3.5672971353481,3.36564840024008,3.65229228898461,3.64413556730895,9.14381250773583,9.1370279502336,9.03959654021934,8.17941422514203,8.22959150416361,8.33867006596293
"ATG7",7.80497977600133,7.67772411110391,7.69271185939608,7.72317065579474,7.50810160926091,7.92279479142936,7.54466392354099,7.54931911262202,7.38445975768699,7.51682254738245,7.48462176520573,6.68258592948914,6.49580856985591,6.83023321773126,7.36490224361885,7.38132098198299,7.46134710083467,6.59549457897184,6.31651959773688,6.12051911467603
"IFI44",4.53427336097212,4.24082389094674,3.6325069065703,7.80534485635587,7.72762389795218,7.75747947203111,8.04125354155736,8.43211662287569,3.7528308897527,3.66357423600595,3.29464550004121,3.48485598553301,3.59417192734929,3.83646117877456,4.85825057472731,4.82677100291273,4.65517309602038,6.42132841874898,6.70726361542224,6.35677997718818
"IFITM2",9.07005828834443,9.14032856396651,9.19887144670493,10.5152757269112,10.6513555201176,10.6387038795714,10.8671612679988,11.0979566371709,4.57440970005161,5.29471948376598,5.38528497510573,6.58354633854623,5.48059484005115,6.2665553676657,9.13400318342084,8.84366861313443,8.85195515337637,9.57627381580828,9.3955803634077,9.34625110748556
"CENPC",6.90230406194336,6.71762878516348,6.8519003777999,5.48779535618436,5.83742188782326,5.75255052644033,5.73545514961754,5.67252588872017,5.56139540468086,5.81165354286569,5.27769090293621,6.22576947290766,5.9117172221807,6.09299901501551,6.71381332920368,6.6604930275592,6.89309745860926,6.45829924169495,6.3987686127218,6.54968205922803
"CDC42EP3",7.59521415852143,7.52988925869143,7.62939901224642,7.83600610545799,7.90522815372366,8.02518132264862,7.94202488185613,7.99881130401887,5.68093048224701,5.84867371406185,6.07670482612661,5.16651419707465,5.60323914326096,5.10756126238936,8.36201275991609,8.06934200431491,8.14993771701311,8.29158462527871,8.45089812251613,8.55590815284681
"SH2B2",5.2639169063321,5.33574496280862,5.57694703055498,5.35105134742783,5.80275794000615,5.47448642613561,5.23193557991656,5.55294257286162,3.62778830488422,3.91969583809597,3.85214163445107,4.16198115991583,4.26452365192729,2.91861754608491,4.46821586601581,4.37560438535839,4.5937251793135,5.54281141745912,5.38626650128166,5.48855657901907
