"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCI-H520.PS.1","NCI-H520.PS.2","NCI-H520.PS.3","NCI-H520.PR.1","NCI-H520.PR.2","NCI-H520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"TC0400012941.hg.1",7.81414920703333,7.88557781949718,8.12532445320425,6.97019859363252,7.4998372160086,7.52567791578817,7.42179921142581,7.52432182740564,7.31272291975943,7.36090900126283,7.30040857917861,7.48193274310536,7.58032769094454,7.88503641399838,8.91981110396574,8.8004168047983,8.81810401340831,9.03807902932281,9.16961578592664,9.13201465959175
"TC1800007570.hg.1",6.07289767510982,6.14976191940853,6.01805421118915,6.06932933003467,6.53578231623246,6.44439959292447,6.33012332538719,6.42159431584795,5.52252828576379,5.05882750436538,4.75508010324184,5.2555788176334,5.0284550541015,5.45218690253089,6.3589662676122,6.70294814459319,6.43521638959735,6.77263988237247,6.78618476719694,6.73622088063807
"TC1500006946.hg.1",4.24972523151624,4.84995406906632,4.82023718680457,5.00393586311816,5.22409106956408,5.05618296447559,4.89098812588622,4.87119528296504,3.88313419524209,4.36844570099077,3.61401408364428,3.58387930147967,4.37558678636002,4.25612844774065,5.28369879178841,5.04895969694451,5.22646332739113,5.09974507804883,5.01102072946573,5.38035551694367
"TC1000008731.hg.1",6.88992286360732,5.85049094849616,6.14909242635808,6.34636048050658,6.08596887866221,5.96471434957967,6.10405239533753,6.08397718677572,7.21578097533228,7.3528990119735,7.09275419307979,6.69685192640375,6.99146510577012,7.09131328222457,6.79951756229669,6.58707953122492,6.72221026514474,6.2960833268285,6.41344925652318,6.03849253220128
"TC0500013222.hg.1",5.36630090971193,4.8337946090197,5.07786037628226,4.98265038551263,4.5530635800038,4.61062114261685,4.74723069607072,4.85494824449736,4.93600178557844,4.03620477781237,3.79852976659273,4.74316296559388,3.69900567410694,4.10207665851234,4.61146365281263,4.05294769953293,4.75673552732244,4.53809999888781,4.5655121689396,4.88025873230061
"TC0200016428.hg.1",8.80394878731061,8.74977782787864,8.78653043606591,8.77554504886765,8.72986673245699,8.83095582920253,8.86288287210475,8.90402188625292,9.69993684407074,9.83863536952629,9.89814631466872,10.1827317114217,10.4054157309087,10.3019948469974,9.79808944088375,9.70941238654409,9.58652375130609,9.71321822228514,9.82657540990849,9.58758853889217
"TC0200012488.hg.1",3.87550623408349,4.0199044900451,4.091474595424,4.13420031353544,3.38512785117624,4.21087963571877,3.68528694775175,3.73962440889784,4.3146453670214,4.68927222789667,4.34859041156596,3.90649684285038,3.71618995800401,4.58524980048874,4.7782313617189,4.96099881083449,5.4670592155735,5.05256352838191,5.15435505829018,5.04764343416931
"TC2100006982.hg.1",4.41615137260726,4.55602071552569,4.37666964740167,4.80992553443242,4.86974888168064,4.79181288699956,5.07533421500337,4.64496884955156,6.38805305058535,6.67857424482507,6.78617151279448,5.61046593756662,5.86318773943075,5.9401259047394,4.28377832451371,4.39971520690144,4.38571931442087,3.99099686651505,4.65403799769046,4.68523817832952
"TC0500007681.hg.1",7.76613612795366,7.48832683480598,7.63204759333284,8.71656228854625,9.05354020139824,8.85283727435755,8.80449946695726,8.94356273778256,7.19611533135911,7.34588836335866,6.96936925463766,7.04694350999521,7.10030217394075,7.1698707665058,8.43555305891506,8.32415309532142,8.19424286275633,6.88718425362826,6.85110019341746,6.62847858204175
"TC0400012943.hg.1",5.00562653940994,4.82092020862442,4.85406535310712,5.0943610637871,4.93265430315297,4.77119517495497,4.67333031585171,5.01372341540818,5.92337700013193,5.73806249539988,5.84824525972815,5.18912208915562,5.6752620255071,5.66996642562278,4.64711925299587,4.70177103266458,5.12840052827063,5.63030737360204,5.17953718796313,5.39388690147401
